longitude,latitude,nearest_national_road,nearest_regional_road,nearest_provincial_road
-6.759905425,30.91267286,7037.987594,23668.01568,290.0707287
-9.494654353,29.84599495,10531.88357,17362.30157,13.95462231
-9.199414306,30.67484896,2811.471148,36726.78863,215.6264707
-9.17153902,30.19026306,22597.98619,6831.231597,716.2478103
-9.285405879,30.56946605,5624.978552,32335.84155,255.3191145
-9.393639102,30.48266187,3718.238778,18289.29445,1059.144666
-5.907821421,31.69773742,35808.12436,7325.913221,9989.154515
-8.138256975,30.69325766,1505.243438,17932.19042,1258.744624
-9.713085053,29.22330091,3461.351264,4990.655752,10912.56917
-9.727958888,29.22908749,2059.032145,5853.642352,10921.53934
-8.532194336,30.66729549,5814.973725,9217.839812,2512.270116
-7.980255311,30.73470092,16577.69999,20014.3148,13.56178705
-9.685627045,30.7619789,9252.110739,45664.7405,15.03897139
-9.128306499,30.05381548,38332.80973,1129.92514,2602.809531
-9.217380356,28.41407896,72004.89044,17807.35965,291.5880397
-9.451942954,29.45495424,23586.65456,13479.8354,5194.619288
-7.299080152,30.62020959,3303.29202,10171.54987,12961.16709
-12.05488764,27.63748904,40197.8549,39919.05845,34839.32289
-10.98523544,28.31068186,15887.6126,18440.91257,7407.489738
-11.08636513,28.18995718,27195.75077,12608.65116,19333.79495
-5.426422434,33.60133655,5465.425659,1001.287619,1858.2348
